frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
28,motorcycle,0.5643261671066284,497,470,584,571,15.019157088122606,-12.67,83.6,False,Low detection confidence
28,motorcycle,0.5188387632369995,663,466,719,543,23.333333333333336,-8.2,77.6,False,Low detection confidence
29,truck,0.6752501130104065,1151,233,1512,643,12.927054478301017,11.26,86.4,False,Large vehicle - maintain distance; Low detection confidence
29,car,0.6620495915412903,1021,396,1090,472,48.69565217391305,2.93,54.8,False,Low detection confidence
29,motorcycle,0.5548758506774902,497,471,584,571,15.019157088122606,-12.67,83.6,False,Low detection confidence
29,motorcycle,0.5343812108039856,659,465,720,542,21.420765027322407,-8.25,79.5,False,Low detection confidence
29,car,0.5018575191497803,894,400,944,448,67.2,-1.26,54.4,False,Low detection confidence
30,truck,0.7618135809898376,1152,233,1512,642,12.962962962962964,11.27,86.4,False,Large vehicle - maintain distance
30,car,0.6145012974739075,1021,395,1092,472,47.32394366197183,2.96,56.2,False,Low detection confidence
30,motorcycle,0.538698136806488,497,471,584,570,15.019157088122606,-12.67,83.6,False,Low detection confidence
30,motorcycle,0.5375795960426331,662,462,721,542,22.146892655367232,-8.19,78.8,False,Low detection confidence
31,truck,0.7760658860206604,1152,234,1511,641,12.999071494893222,11.26,86.4,False,Large vehicle - maintain distance
31,car,0.5961349010467529,1021,396,1092,472,47.32394366197183,2.96,56.2,False,Low detection confidence
31,motorcycle,0.5154029130935669,499,471,586,570,15.019157088122606,-12.61,83.7,False,Low detection confidence
32,truck,0.8023320436477661,1153,233,1510,642,13.071895424836603,11.26,86.3,False,Large vehicle - maintain distance
32,car,0.5667867064476013,1021,396,1092,471,47.32394366197183,2.96,56.2,False,Low detection confidence
33,truck,0.7515532374382019,1151,233,1508,642,13.071895424836603,11.2,86.3,False,Large vehicle - maintain distance
33,car,0.5436685681343079,1021,396,1091,471,48.0,2.94,55.5,False,Low detection confidence
34,truck,0.7158606052398682,1152,233,1507,641,13.145539906103288,11.2,86.3,False,Large vehicle - maintain distance
34,motorcycle,0.5294638872146606,496,463,588,570,14.202898550724639,-12.62,84.5,False,Low detection confidence
34,car,0.51322340965271,1021,395,1091,470,48.0,2.94,55.5,False,Low detection confidence
35,truck,0.6875535845756531,1151,232,1506,641,13.145539906103288,11.17,86.3,False,Large vehicle - maintain distance; Low detection confidence
35,motorcycle,0.5584020614624023,498,466,588,570,14.518518518518519,-12.59,84.2,False,Low detection confidence
36,truck,0.6519558429718018,1151,232,1505,640,13.182674199623353,11.15,86.2,False,Large vehicle - maintain distance; Low detection confidence
36,motorcycle,0.5748397707939148,498,469,588,570,14.518518518518519,-12.59,84.2,False,Low detection confidence
37,truck,0.5623553991317749,1151,233,1504,640,13.220018885741267,11.14,86.2,False,Large vehicle - maintain distance; Low detection confidence
